"cellid","CGP.cell.line","CCLE.cell.line","GSK.cell.line","NCI60.cell.line"
"HCC1395","HCC1395","HCC1395","HCC1395",
"HCC1599","HCC1599","HCC1599","HCC1599",
"HCC1937","HCC1937","HCC1937","HCC1937",
"HCC1954","HCC1954","HCC1954","HCC1954",
"HCC2157","HCC2157","HCC2157","HCC2157",
"HCC2218","HCC2218","HCC2218","HCC2218",
"HCC38","HCC38","HCC38","HCC38",
"HCT-116","HCT-116","HCT 116",,"CO:HCT_116"
"HCT-15","HCT-15","HCT-15","HCT15","CO:HCT_15"
"HCT-8",,"HCT-8","HCT8",
"HD-MY-Z","HD-MY-Z","HD-MY-Z","HDMYZ",
"HEC-1","HEC-1","HEC-1-B",,
"HEC-1-A",,"HEC-1-A","HEC1A",
"HEL 92.1.7",,"HEL 92.1.7","HEL9217",
"Hep 3B2.1-7",,"Hep 3B2.1-7","Hep3B",
"Hep G2",,"Hep G2","HepG2",
"HH","HH","HH","HH",
"HL-60","HL-60","HL-60","HL60","LE:HL_60"
"HMCB",,"HMCB","HMCB",
"HOS","HOS","HOS","HOS",
"HPAC",,"HPAC","HPAC",
"HPAF-II","HPAF-II","HPAF-II","HPAFII",
"Hs-578-T","Hs-578-T","Hs 578T",,"BR:HS578T"
"HT","HT","HT","HT",
"HT-1080","HT-1080","HT-1080","HT1080",
"HT-1197","HT-1197","HT-1197","HT1197",
"HT-1376","HT-1376","HT-1376","HT1376",
"HT-3","HT-3",,"HT3",
"HuH-28","HuH-28","HuH28",,
"HUH-6-clone5","HUH-6-clone5","HuH-6",,
"HuNS1","HuNS1","HuNS1","HuNS1",
"HuP-T3","HuP-T3","HUP-T3",,
"HuP-T4","HuP-T4","HUP-T4",,
"HuT 78",,"HuT 78","HuT78",
"HUTU-80","HUTU-80","HuTu 80",,
"IGROV-1","IGROV-1","IGROV1",,"OV:IGROV1"
"J-RT3-T3-5","J-RT3-T3-5",,"JRT3T35",
"J82","J82","J82","J82",
"JAR","JAR",,"JAR",
"JEG-3","JEG-3",,"JEG3",
"JiyoyeP-2003","JiyoyeP-2003",,"Jiyoye",
"JM1",,"JM1","JM1",
"JVM-3","JVM-3","JVM-3","JVM3",
"K-562",,"K-562","K562","LE:K_562"
"K052","K052","KO52",,
"KASUMI-2",,"KASUMI-2","Kasumi2",
"KATOIII","KATOIII","KATO III","KATOIII",
"KG-1",,"KG-1","KG1",
"KLE",,"KLE","KLE",
"KNS-81-FD","KNS-81-FD","KNS-81",,
"KP-4","KP-4","KP4",,
"KP-N-S19s","KP-N-S19s","KP-N-SI9s",,
"KPL-1",,"KPL-1","KPL1",
"KU812",,"KU812","KU812",
"KYSE-30",,"KYSE-30","KYSE30",
"L-428","L-428","L-428","L428",
